,date_int,tournament,geodesic,geodesic_home,pop_home,pop_away,home_score,away_score
2556,73759,49,19550.620055157615,18871.80351523405,1862032.5,102172.0,2,0
13489,78108,49,1281.8366108671444,179.1715699396128,3124858.5,3669364.5,1,1
15510,78872,23,5280.205319299529,558.9868345936713,23900626.0,1759166.0,2,2
9560,76619,24,740.3449536682,224.6956258411133,3737082.0,164073.5,1,0
5341,74855,23,3685.4573528910805,175.00697896584037,8929071.5,6141603.5,0,0
13154,77994,7,15784.645893455081,623.9859393799161,1764.0,1713855.0,0,2
5371,74868,24,2385.5138053343544,239.07818296123517,1488190.5,8302037.0,0,0
11066,77113,24,1006.9071943580576,683.9097418454204,6011601.0,3611597.5,1,0
9040,76329,14,602.2844167360229,1531.7033578440714,653909.0,3611597.5,0,1
7324,75695,24,1234.061933845531,239.07818296123517,1488190.5,1488700.0,1,1
3591,74162,2,4126.405625714803,42.19086913341171,12304091.0,1760622.5,1,0
2921,73927,49,776.7933945116523,36.35420582458736,4516372.5,1006387.0,2,1
6256,75265,11,13151.127883963964,14156.407633844025,620093.5,3611597.5,3,2
901,73028,23,1852.3104780482074,402.9003846536191,2045057.0,17031145.5,0,1
2083,73502,6,2538.488851158856,347.49744486717776,2516229.0,10468969.0,2,0
11489,77300,46,16114.723805194177,16100.988693746494,16820282.0,1488700.0,4,0
13493,78108,49,901.2807379281578,0.0,141161.5,1006387.0,2,0
6661,75458,25,10536.192679258942,623.9859393799161,1764.0,2591961.5,1,0
6060,75198,13,623.9859393799161,12788.525951128693,19953.5,1764.0,0,4
4647,74546,5,1095.1231412581312,559.0589591984034,19777668.0,4236614.5,1,1
7097,75594,23,9795.259053844402,15696.83929005364,360697.0,12342031.5,4,1
4094,74365,23,5426.448984725032,0.0,1090655.0,1061042.0,5,0
10095,76800,35,18349.287095792133,115.51703883740682,1551240.0,1764.0,3,0
4881,74655,23,2395.0644705739946,131.16433310042902,10328576.5,3082588.0,8,0
13936,78271,24,1129.7504965340795,3302.7827555586073,7161013.5,1006387.0,1,1
2175,73559,24,9807.645181330314,15880.105820566294,31019153.0,2372271.5,1,1
5409,74890,24,2077.4921713426334,143.9295636210798,24656196.0,3740160.5,1,2
9324,76458,24,18383.624829647644,623.9859393799161,1764.0,3669364.5,0,1
7904,75898,23,2349.076687260202,69.38859681988451,2202262.0,307088.5,2,2
14708,78542,49,18349.287095792133,115.51703883740682,1551240.0,1764.0,2,0
15193,78750,14,3132.8851812362955,4580.538775205472,28228.5,2930227.0,0,1
3235,74029,45,2666.0914953926235,76.67921393311431,239245.0,1764.0,2,1
1137,73155,23,13240.8045878836,16100.988693746494,16820282.0,1375405.0,6,0
12315,77577,23,1994.0601572983778,332.32975011856445,5874123.5,25539953.5,1,1
807,72990,24,5019.489472400975,2842.8219126545337,12304091.0,7717590.5,4,2
14616,78519,8,1153.7296764497457,366.3021263730419,1397363.0,2516229.0,1,1
1245,73192,23,1289.2493224278141,218.9071484922302,1474150.0,1063223.5,4,1
13433,78104,24,19839.051257705134,623.9859393799161,1764.0,20811.5,3,0
13189,78003,24,3377.6698226979215,85.24365314314382,626174.0,106813.5,1,1
10493,76965,23,7097.035893469762,270.57605445147635,12304091.0,895608.5,1,0
1337,73207,13,11554.808553777148,623.9859393799161,1764.0,2770.5,1,1
4131,74374,48,2671.105347758208,1775.8889342190334,16374337.0,3669364.5,1,1
14887,78671,23,14980.278039260267,10468.74613193163,67031366.5,6845750.5,5,0
14084,78366,24,17268.586547295665,17341.775487640465,2444434.5,8302037.0,2,2
7573,75816,24,18746.18278788703,93.17144668493937,2254390.0,1764.0,3,1
