,round,date,city,home_team,away_team,group,result,country,city_ascii,lat,lng,pop,iso2,iso3,province,lat_home,lng_home,pop_home,lat_away,lng_away,pop_away,date_delta,date_int,geodesic,geodesic_home
39,3,2018-06-26 21:00:00,Moscow,Iceland,Croatia,Group D,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,64.85618150333332,-19.763745377777777,176661.5,44.622529102,16.227096394000004,1474150.0,79495 days 21:00:00.000000000,79495,1952.101954061885,3201.8395957350344
40,3,2018-06-27 17:00:00,Moscow,Mexico,Sweden,Group F,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,22.496705073280435,-101.12578106915348,55203918.5,59.713843178235294,15.930726573823522,3669364.5,79496 days 17:00:00.000000000,79496,1357.7787789300464,10501.698121430421
41,3,2018-06-27 17:00:00,Moscow,Korea Republic,Germany,Group F,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,51.11575163263159,9.878619886157892,27000921.0,79496 days 17:00:00.000000000,79496,1899.9267158843859,16055.247983019339
42,3,2018-06-27 21:00:00,Moscow,Serbia,Brazil,Group E,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,44.679683828571434,20.50679229857143,2007297.0,-15.465037315579073,-47.765149351530575,100038543.0,79496 days 21:00:00.000000000,79496,11128.910836129055,1725.3089390033654
43,3,2018-06-27 21:00:00,Moscow,Switzerland,Costa Rica,Group E,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,47.02733995214287,8.170100151142858,3039297.5,9.952510722461538,-84.16417425461539,1216465.5,79496 days 21:00:00.000000000,79496,10971.563445833912,2245.0677528814244
44,3,2018-06-28 17:00:00,Moscow,Japan,Poland,Group H,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,36.52693533202897,137.07060038115938,67031366.5,52.260172900416656,19.079233544166666,10328576.5,79497 days 17:00:00.000000000,79497,1271.476012672049,7280.467295794821
45,3,2018-06-28 17:00:00,Moscow,Senegal,Colombia,Group H,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,14.207472609999998,-15.455380487272727,3737082.0,5.907816061472221,-74.65676547930556,23900626.0,79497 days 17:00:00.000000000,79497,10826.663910216404,6443.392628655033
46,3,2018-06-28 21:00:00,Moscow,Panama,Tunisia,Group G,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,8.602236642714285,-80.44621709785713,1334332.5,35.123635348076924,9.897465164038461,3740160.5,79497 days 21:00:00.000000000,79497,3115.018596998042,10899.948527049854
47,3,2018-06-28 21:00:00,Moscow,England,Belgium,Group G,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,50.691815335,4.5818122523,3569803.0,79497 days 21:00:00.000000000,79497,2253.5363481185973,16055.247983019339
48,Round of 16,2018-06-30 17:00:00,Moscow,Winner Group C,Runner-up Group D,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79499 days 17:00:00.000000000,79499,16055.247983019339,16055.247983019339
