country,lat,lng,pop
Taiwan,24.151239355999998,120.88890131199997,18302353.0
Tajikistan,38.893275179999996,69.51178304666666,1760622.5
Tanzania,-5.916715615305084,35.131596353728824,7338218.5
Thailand,13.939145271063289,100.85552697227853,12304091.0
The Bahamas,25.80833295,-78.02502842,219836.0
The Gambia,13.41431282142857,-15.523604714285714,219293.0
Togo,8.247200633999999,0.9096600034285716,1496645.0
Tonga,-19.894042955,-174.6019286,38994.5
Trinidad and Tobago,10.466229375000001,-61.488203835,338021.5
Tunisia,35.123635348076924,9.897465164038461,3740160.5
Turkey,39.12450099357142,34.84101883547619,35167955.5
Turkmenistan,39.02840038769231,58.705315186153854,1606808.5
Turks and Caicos Islands,21.46642743,-71.13597864,4760.5
Tuvalu,-8.516651999,179.2166471,4749.0
Uganda,1.1199900123953488,32.29533397953489,3329034.0
Ukraine,48.58442681272726,31.875650091090915,17031145.5
United Arab Emirates,25.09437781625,55.454672959999996,3455586.5
United Kingdom,53.647734553157875,-2.3488812562456136,24750143.0
United States Virgin Islands,17.75037518,-64.74998599999999,32543.0
United States of America,40.56666155447334,-102.0766814049415,162665650.0
Uruguay,-33.228574220312495,-56.03039721093751,1759166.0
Uzbekistan,40.71440964137931,66.0752220148276,7717590.5
Vanuatu,-16.622953065,167.74662370000001,50605.0
Vatican (Holy Sea),41.90001223,12.44780839,832.0
Venezuela,9.367814653760002,-67.19398352540003,14689717.0
Vietnam,15.829638996349997,106.49949503333339,19777668.0
Western Sahara,26.11916669,-9.652522218,350.0
Yemen,14.633985771000003,46.395785640999996,5301009.5
Zambia,-13.461212630235291,27.676571804705887,3611597.5
Zimbabwe,-18.929132712,29.789742104500004,3422098.5
